		 DefaultPropeller_Geometry.txt 

		 Propeller Geometry Table

Date and time: 25-Nov-2025

Propeller Diameter 	 = 2.0000 m
Number of Blades   	 = 3
Propeller Speed 	 = 200 RPM
Propeller Hub Diameter 	 = 0.4000 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.2000  0.1600  0.2056  0.0450  0.9438  56.3472  0.0000  0.0000
0.2628  0.1731  0.1723  0.0396  0.9413  48.7483  0.0000  0.0000
0.3251  0.1867  0.1446  0.0361  0.9488  42.8868  0.0000  0.0000
0.3868  0.1998  0.1224  0.0329  0.9524  38.0923  0.0000  0.0000
0.4472  0.2111  0.1039  0.0299  0.9545  34.1910  0.0000  0.0000
0.5061  0.2205  0.0887  0.0273  0.9557  31.0078  0.0000  0.0000
0.5632  0.2275  0.0763  0.0249  0.9565  28.3948  0.0000  0.0000
0.6180  0.2314  0.0663  0.0229  0.9569  26.2379  0.0000  0.0000
0.6702  0.2321  0.0583  0.0212  0.9572  24.4474  0.0000  0.0000
0.7196  0.2299  0.0514  0.0197  0.9574  22.9532  0.0000  0.0000
0.7657  0.2244  0.0456  0.0185  0.9574  21.7032  0.0000  0.0000
0.8083  0.2152  0.0410  0.0174  0.9574  20.6572  0.0000  0.0000
0.8472  0.2030  0.0375  0.0165  0.9573  19.7819  0.0000  0.0000
0.8821  0.1892  0.0346  0.0155  0.9569  19.0501  0.0000  0.0000
0.9128  0.1735  0.0326  0.0144  0.9562  18.4413  0.0000  0.0000
0.9391  0.1520  0.0324  0.0141  0.9562  17.9574  0.0000  0.0000
0.9608  0.1227  0.0316  0.0141  0.9565  17.5811  0.0000  0.0000
0.9779  0.0910  0.0268  0.0142  0.9567  17.2979  0.0000  0.0000
0.9902  0.0594  0.0193  0.0143  0.9571  17.1016  0.0000  0.0000
0.9975  0.0289  0.0102  0.0144  0.9573  16.9864  0.0000  0.0000
1.0000  0.0010  0.0000  0.0144  0.9574  16.9484  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
