		 turbine_Geometry.txt 

		 Propeller Geometry Table

Date and time: 25-Nov-2025

Propeller Diameter 	 = 0.2540 m
Number of Blades   	 = 3
Propeller Speed 	 = 650 RPM
Propeller Hub Diameter 	 = 0.0635 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.2500  0.0376  0.8114  -0.0679  0.3131  21.7325  0.0000  0.0000
0.3088  0.0595  0.4676  -0.0679  0.3205  18.2810  0.0000  0.0000
0.3673  0.0626  0.4035  -0.0679  0.3230  15.6370  0.0000  0.0000
0.4251  0.0599  0.3814  -0.0679  0.3236  13.6204  0.0000  0.0000
0.4818  0.0560  0.3668  -0.0679  0.3233  12.0582  0.0000  0.0000
0.5370  0.0522  0.3517  -0.0679  0.3227  10.8289  0.0000  0.0000
0.5905  0.0489  0.3340  -0.0679  0.3221   9.8489  0.0000  0.0000
0.6419  0.0462  0.3139  -0.0679  0.3215   9.0592  0.0000  0.0000
0.6908  0.0440  0.2916  -0.0679  0.3212   8.4179  0.0000  0.0000
0.7371  0.0421  0.2663  -0.0679  0.3211   7.8938  0.0000  0.0000
0.7803  0.0405  0.2403  -0.0679  0.3212   7.4640  0.0000  0.0000
0.8203  0.0392  0.2160  -0.0679  0.3215   7.1101  0.0000  0.0000
0.8568  0.0381  0.1937  -0.0679  0.3219   6.8209  0.0000  0.0000
0.8895  0.0371  0.1765  -0.0679  0.3226   6.5851  0.0000  0.0000
0.9183  0.0362  0.1666  -0.0679  0.3227   6.3821  0.0000  0.0000
0.9429  0.0355  0.1602  -0.0679  0.3224   6.2114  0.0000  0.0000
0.9633  0.0348  0.1311  -0.0679  0.3238   6.1074  0.0000  0.0000
0.9793  0.0343  0.0871  -0.0679  0.3257   6.0428  0.0000  0.0000
0.9908  0.0338  0.0504  -0.0679  0.3276   6.0084  0.0000  0.0000
0.9977  0.0336  0.0282  -0.0679  0.3291   5.9933  0.0000  0.0000
1.0000  0.0335  0.0210  -0.0679  0.3296   5.9894  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
